State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
Louisiana,2011,4574836,25406,555.3,513,11.2,1268,27.7,5239,114.5,18386,401.9,168744,3688.5,46320,1012.5,113301,2476.6,9123,199.4,194150,4243.867977,West South Central
Maine,2011,1328188,1636,123.2,26,2,393,29.6,369,27.8,848,63.8,33809,2545.5,7854,591.3,24877,1873,1078,81.2,35445,2668.673411,New England
Maryland,2011,5828289,28797,494.1,398,6.8,1194,20.5,10343,177.5,16862,289.3,166699,2860.2,35784,614,114847,1970.5,16068,275.7,195496,3354.260573,South Atlantic
Massachusetts,2011,6587536,28219,428.4,185,2.8,1628,24.7,6768,102.7,19638,298.1,148790,2258.7,36533,554.6,101471,1540.3,10786,163.7,177009,2687.028959,New England
Michigan,2011,9876187,43983,445.3,613,6.2,4347,44,10393,105.2,28630,289.9,257979,2612.1,71596,724.9,160887,1629,25496,258.2,301962,3057.475522,East North Central
Minnesota,2011,5344861,11825,221.2,74,1.4,1664,31.1,3386,63.4,6701,125.4,136264,2549.4,25724,481.3,102358,1915.1,8182,153.1,148089,2770.680098,West North Central
Mississippi,2011,2978512,8036,269.8,239,8,865,29,2492,83.7,4440,149.1,90115,3025.5,30907,1037.7,54283,1822.5,4925,165.4,98151,3295.303158,East South Central
Missouri,2011,6010688,26889,447.4,366,6.1,1458,24.3,6269,104.3,18796,312.7,198882,3308.8,44822,745.7,138743,2308.3,15317,254.8,225771,3756.159029,West North Central
Montana,2011,998199,2670,267.5,28,2.8,357,35.8,169,16.9,2116,212,23155,2319.7,3390,339.6,18307,1834,1458,146.1,25825,2587.159474,Mountain
Nebraska,2011,1842641,4665,253.2,67,3.6,695,37.7,997,54.1,2906,157.7,50726,2752.9,8714,472.9,37909,2057.3,4103,222.7,55391,3006.06575,West North Central
Nevada,2011,2723322,15309,562.1,141,5.2,912,33.5,4299,157.9,9957,365.6,69731,2560.5,20214,742.3,40032,1470,9485,348.3,85040,3122.656814,Mountain
New Hampshire,2011,1318194,2478,188,17,1.3,429,32.5,474,36,1558,118.2,30106,2283.9,5749,436.1,23383,1773.9,974,73.9,32584,2471.866812,New England
New Jersey,2011,8821155,27203,308.4,380,4.3,1006,11.4,12209,138.4,13608,154.3,189719,2150.7,43238,490.2,129066,1463.1,17415,197.4,216922,2459.11108,Mid Atlantic
New Mexico,2011,2082224,11817,567.5,156,7.5,857,41.2,1722,82.7,9082,436.2,73534,3531.5,21423,1028.9,46703,2242.9,5408,259.7,85351,4099.030652,Mountain
New York,2011,19465197,77490,398.1,774,4,2752,14.1,28396,145.9,45568,234.1,372255,1912.4,65397,336,287547,1477.2,19311,99.2,449745,2310.50834,Mid Atlantic
North Carolina,2011,9656401,33774,349.8,508,5.3,1995,20.7,9550,98.9,21721,224.9,340562,3526.8,106144,1099.2,217386,2251.2,17032,176.4,374336,3876.55815,South Atlantic
North Dakota,2011,683932,1689,247,24,3.5,259,37.9,91,13.3,1315,192.3,13246,1936.7,2433,355.7,9833,1437.7,980,143.3,14935,2183.696625,West North Central
Ohio,2011,11544951,35484,307.4,513,4.4,3631,31.5,16057,139.1,15283,132.4,387297,3354.7,112709,976.3,253520,2195.9,21068,182.5,422781,3662.042394,East North Central
Oklahoma,2011,3791508,17243,454.8,208,5.5,1403,37,3282,86.6,12350,325.7,127252,3356.2,36341,958.5,79880,2106.8,11031,290.9,144495,3811.016619,West South Central
Oregon,2011,3871859,9586,247.6,82,2.1,1217,31.4,2222,57.4,6065,156.6,120594,3114.6,20448,528.1,91099,2352.8,9047,233.7,130180,3362.209213,Pacific
Pennsylvania,2011,12742886,45240,355,637,5,3324,26.1,16131,126.6,25148,197.3,283179,2222.3,57850,454,208485,1636.1,16844,132.2,328419,2577.273312,Mid Atlantic
Rhode Island,2011,1051302,2602,247.5,14,1.3,304,28.9,746,71,1538,146.3,28141,2676.8,6964,662.4,18890,1796.8,2287,217.5,30743,2924.278656,New England
South Carolina,2011,4679230,26760,571.9,320,6.8,1612,34.5,4313,92.2,20515,438.4,182685,3904.2,46921,1002.8,122100,2609.4,13664,292,209445,4476.056958,South Atlantic
South Dakota,2011,824082,2094,254.1,21,2.5,496,60.2,167,20.3,1410,171.1,14979,1817.7,2899,351.8,11134,1351.1,946,114.8,17073,2071.759849,West North Central
Tennessee,2011,6403353,38944,608.2,373,5.8,2024,31.6,8081,126.2,28466,444.5,230261,3595.9,62749,979.9,153476,2396.8,14036,219.2,269205,4204.125557,East South Central
Texas,2011,25674681,104873,408.5,1126,4.4,7439,29,28395,110.6,67913,264.5,891499,3472.3,215223,838.3,612938,2387.3,63338,246.7,996372,3880.757077,West South Central
Utah,2011,2817222,5494,195,54,1.9,854,30.3,1081,38.4,3505,124.4,83758,2973.1,13122,465.8,64453,2287.8,6183,219.5,89252,3168.08544,Mountain
Vermont,2011,626431,847,135.2,8,1.3,119,19,85,13.6,635,101.4,14464,2309,3643,581.5,10322,1647.7,499,79.7,15311,2444.163842,New England
Virginia,2011,8096604,15923,196.7,303,3.7,1536,19,5430,67.1,8654,106.9,182141,2249.6,30597,377.9,141820,1751.6,9724,120.1,198064,2446.260185,South Atlantic
Washington,2011,6830038,20121,294.6,162,2.4,2290,33.5,5638,82.5,12031,176.1,244146,3574.6,56532,827.7,162779,2383.3,24835,363.6,264267,3869.187843,Pacific
West Virginia,2011,1855364,5861,315.9,80,4.3,388,20.9,910,49,4483,241.6,42189,2273.9,11192,603.2,28743,1549.2,2254,121.5,48050,2589.788311,South Atlantic
Wisconsin,2011,5711767,13532,236.9,136,2.4,1163,20.4,4469,78.2,7764,135.9,138949,2432.7,26654,466.7,104063,1821.9,8232,144.1,152481,2669.59419,East North Central
Wyoming,2011,568158,1246,219.3,18,3.2,146,25.7,71,12.5,1011,177.9,12877,2266.4,1863,327.9,10493,1846.8,521,91.7,14123,2485.752203,Mountain
