State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
Alabama,2011,4802740,20174,420.1,301,6.3,1371,28.5,4910,102.2,13592,283,173190,3606.1,51117,1064.3,111411,2319.7,10662,222,193364,4026.118424,East South Central
Alaska,2011,722718,4383,606.5,29,4,420,58.1,576,79.7,3358,464.6,19028,2632.8,2826,391,14859,2056,1343,185.8,23411,3239.299422,Pacific
Arizona,2011,6482505,26311,405.9,405,6.2,2264,34.9,7127,109.9,16515,254.8,230422,3554.5,54929,847.3,155664,2401.3,19829,305.9,256733,3960.398025,Mountain
Arkansas,2011,2937979,14129,480.9,162,5.5,1213,41.3,2428,82.6,10326,351.5,110295,3754.1,34471,1173.3,70012,2383,5812,197.8,124424,4235.02006,West South Central
California,2011,37691912,154944,411.1,1792,4.8,7663,20.3,54292,144,91197,242,973901,2583.8,230090,610.4,596963,1583.8,146848,389.6,1128845,2994.926339,Pacific
Colorado,2011,5116796,16383,320.2,149,2.9,2278,44.5,3306,64.6,10650,208.1,133361,2606.3,25768,503.6,96546,1886.8,11047,215.9,149744,2926.518861,Mountain
Connecticut,2011,3580709,9767,272.8,128,3.6,686,19.2,3677,102.7,5276,147.3,77609,2167.4,15679,437.9,55218,1542.1,6712,187.4,87376,2440.187125,New England
Delaware,2011,907135,5075,559.5,41,4.5,289,31.9,1538,169.5,3207,353.5,30939,3410.6,7531,830.2,21878,2411.8,1530,168.7,36014,3970.081631,South Atlantic
District of Columbia,2011,617996,7429,1202.1,108,17.5,173,28,4093,662.3,3055,494.3,29636,4795.5,3850,623,21330,3451.5,4456,721,37065,5997.611635,South Atlantic
Florida,2011,19057542,98199,515.3,984,5.2,5274,27.7,25622,134.4,66319,348,671200,3522,170171,892.9,461408,2421.1,39621,207.9,769399,4037.241529,South Atlantic
Georgia,2011,9815210,36634,373.2,554,5.6,2053,20.9,12148,123.8,21879,222.9,355952,3626.5,95657,974.6,230820,2351.7,29475,300.3,392586,3999.771783,South Atlantic
Hawaii,2011,1374810,3949,287.2,17,1.2,434,31.6,1042,75.8,2456,178.6,45889,3337.8,10008,728,31697,2305.6,4184,304.3,49838,3625.082739,Pacific
Idaho,2011,1584985,3184,200.9,36,2.3,435,27.4,184,11.6,2529,159.6,32787,2068.6,6920,436.6,24534,1547.9,1333,84.1,35971,2269.4852,Mountain
Illinois,2011,12869257,55247,429.3,721,5.6,3708,28.8,20254,157.4,30564,237.5,346025,2688.8,77746,604.1,239510,1861.1,28769,223.5,401272,3118.066567,East North Central
Indiana,2011,6516922,21626,331.8,312,4.8,1757,27,6978,107.1,12579,193,206055,3161.8,50551,775.7,140688,2158.8,14816,227.3,227681,3493.689199,East North Central
Iowa,2011,3062309,7826,255.6,46,1.5,834,27.2,825,26.9,6121,199.9,71361,2330.3,17400,568.2,50025,1633.6,3936,128.5,79187,2585.859232,West North Central
Kansas,2011,2871238,10162,353.9,110,3.8,1085,37.8,1459,50.8,7508,261.5,88438,3080.1,18789,654.4,62972,2193.2,6677,232.5,98600,3434.058758,West North Central
Kentucky,2011,4369356,10406,238.2,153,3.5,1463,33.5,3693,84.5,5097,116.7,118358,2708.8,32553,745,79132,1811.1,6673,152.7,128764,2946.978914,East South Central
