State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
Alabama,2012,4822023,21693,449.9,342,7.1,1296,26.9,5020,104.1,15035,311.8,168878,3502.2,47481,984.7,111523,2312.8,9874,204.8,190571,3952.096454,East South Central
Alaska,2012,731449,4412,603.2,30,4.1,583,79.7,630,86.1,3169,433.2,20037,2739.4,2950,403.3,15565,2128,1522,208.1,24449,3342.543363,Pacific
Arizona,2012,6553255,28108,428.9,358,5.5,2277,34.7,7386,112.7,18087,276,231930,3539.2,52934,807.8,159838,2439.1,19158,292.3,260038,3968.073881,Mountain
Arkansas,2012,2949131,13835,469.1,173,5.9,1247,42.3,2320,78.7,10095,342.3,107941,3660.1,31890,1081.3,70327,2384.7,5724,194.1,121776,4129.216369,West South Central
California,2012,38041430,160944,423.1,1884,5,7837,20.6,56521,148.6,94702,248.9,1049465,2758.7,245767,646.1,635090,1669.5,168608,443.2,1210409,3181.817823,Pacific
Colorado,2012,5187582,16023,308.9,162,3.1,2113,40.7,3395,65.4,10353,199.6,139270,2684.7,26157,504.2,101021,1947.4,12092,233.1,155293,2993.55268,Mountain
Connecticut,2012,3590347,10160,283,146,4.1,919,25.6,3687,102.7,5408,150.6,76834,2140,14711,409.7,55674,1550.7,6449,179.6,86994,2422.996997,New England
Delaware,2012,917092,5020,547.4,57,6.2,243,26.5,1492,162.7,3228,352,30639,3340.9,7371,803.7,21832,2380.6,1436,156.6,35659,3888.268571,South Atlantic
District of Columbia,2012,632323,7864,1243.7,88,13.9,236,37.3,4036,638.3,3504,554.1,30736,4860.8,3519,556.5,23556,3725.3,3661,579,38600,6104.475086,South Atlantic
Florida,2012,19317568,94087,487.1,1009,5.2,5260,27.2,23889,123.7,63929,330.9,632988,3276.7,153563,794.9,442095,2288.6,37330,193.2,727075,3763.801944,South Atlantic
Georgia,2012,9919945,37591,378.9,581,5.9,2124,21.4,12463,125.6,22423,226,338329,3410.6,86789,874.9,223004,2248,28536,287.7,375920,3789.53714,South Atlantic
Hawaii,2012,1392313,3330,239.2,29,2.1,285,20.5,1040,74.7,1976,141.9,42817,3075.2,7979,573.1,31233,2243.2,3605,258.9,46147,3314.412779,Pacific
Idaho,2012,1595728,3318,207.9,29,1.8,479,30,243,15.2,2567,160.9,31651,1983.5,7186,450.3,23101,1447.7,1364,85.5,34969,2191.413574,Mountain
Illinois,2012,12875255,53403,414.8,744,5.8,3570,27.7,19471,151.2,29618,230,332013,2578.7,71101,552.2,235222,1826.9,25690,199.5,385416,2993.463042,East North Central
Indiana,2012,6537334,22602,345.7,310,4.7,1667,25.5,6598,100.9,14027,214.6,198032,3029.2,47612,728.3,136759,2092,13661,209,220634,3374.984359,East North Central
Iowa,2012,3074186,8112,263.9,45,1.5,871,28.3,962,31.3,6234,202.8,69839,2271.8,17096,556.1,48720,1584.8,4023,130.9,77951,2535.663099,West North Central
Kansas,2012,2885905,10232,354.6,84,2.9,1053,36.5,1500,52,7595,263.2,90710,3143.2,18767,650.3,65165,2258,6778,234.9,100942,3497.758935,West North Central
Kentucky,2012,4380415,9752,222.6,195,4.5,1272,29,3535,80.7,4750,108.4,111826,2552.9,29587,675.4,75571,1725.2,6668,152.2,121578,2775.49045,East South Central
Louisiana,2012,4601893,22868,496.9,495,10.8,1158,25.2,5475,119,15740,342,162936,3540.6,42140,915.7,112915,2453.7,7881,171.3,185804,4037.555849,West South Central
Maine,2012,1329192,1631,122.7,25,1.9,372,28,423,31.8,811,61,33361,2509.9,7461,561.3,24905,1873.7,995,74.9,34992,2632.576783,New England
Maryland,2012,5884563,28055,476.8,369,6.3,1235,21,10141,172.3,16310,277.2,162031,2753.5,33732,573.2,113274,1924.9,15025,255.3,190086,3230.248363,South Atlantic
Massachusetts,2012,6646144,26953,405.5,121,1.8,1642,24.7,6552,98.6,18638,280.4,143089,2153,34540,519.7,99317,1494.4,9232,138.9,170042,2558.506105,New England
Michigan,2012,9883360,44922,454.5,689,7,4589,46.4,10434,105.6,29210,295.5,250101,2530.5,65665,664.4,159321,1612,25115,254.1,295023,2985.047595,East North Central
Minnesota,2012,5379139,12419,230.9,99,1.8,1638,30.5,3475,64.6,7207,134,138152,2568.3,25378,471.8,104316,1939.3,8458,157.2,150571,2799.165443,West North Central
Mississippi,2012,2984926,7786,260.8,220,7.4,822,27.5,2284,76.5,4460,149.4,83906,2811,28076,940.6,51508,1725.6,4322,144.8,91692,3071.834947,East South Central
Missouri,2012,6021988,27155,450.9,389,6.5,1511,25.1,5782,96,19473,323.4,199590,3314.4,42466,705.2,140816,2338.4,16308,270.8,226745,3765.28482,West North Central
Montana,2012,1005141,2736,272.2,27,2.7,379,37.7,191,19,2139,212.8,25970,2583.7,3894,387.4,20387,2028.3,1689,168,28706,2855.917727,Mountain
Nebraska,2012,1855525,4814,259.4,53,2.9,711,38.3,1130,60.9,2920,157.4,51118,2754.9,8735,470.8,38236,2060.7,4147,223.5,55932,3014.349039,West North Central
Nevada,2012,2758931,16763,607.6,124,4.5,931,33.7,4918,178.3,10790,391.1,77510,2809.4,22120,801.8,45372,1644.6,10018,363.1,94273,3417.011879,Mountain
New Hampshire,2012,1320718,2481,187.9,15,1.1,449,34,472,35.7,1545,117,30693,2324,5444,412.2,24226,1834.3,1023,77.5,33174,2511.815543,New England
New Jersey,2012,8864590,25727,290.2,388,4.4,1035,11.7,11385,128.4,12919,145.7,181481,2047.3,42338,477.6,122662,1383.7,16481,185.9,207208,2337.479793,Mid Atlantic
New Mexico,2012,2085538,11660,559.1,116,5.6,957,45.9,1847,88.6,8740,419.1,75094,3600.7,21384,1025.3,48247,2313.4,5463,261.9,86754,4159.789944,Mountain
New York,2012,19570261,79610,406.8,684,3.5,2848,14.6,28655,146.4,47423,242.3,376140,1922,64553,329.9,294239,1503.5,17348,88.6,455750,2328.788563,Mid Atlantic
North Carolina,2012,9752073,34464,353.4,479,4.9,1984,20.3,9392,96.3,22609,231.8,328594,3369.5,99323,1018.5,213151,2185.7,16120,165.3,363058,3722.880253,South Atlantic
North Dakota,2012,699628,1712,244.7,28,4,272,38.9,131,18.7,1281,183.1,14063,2010.1,2377,339.8,10535,1505.8,1151,164.5,15775,2254.769678,West North Central
Ohio,2012,11544225,34595,299.7,495,4.3,3658,31.7,15235,132,15207,131.7,359883,3117.4,103421,895.9,236950,2052.5,19512,169,394478,3417.102491,East North Central
Oklahoma,2012,3814820,17902,469.3,216,5.7,1588,41.6,3231,84.7,12867,337.3,129743,3401,35731,936.6,82448,2161.3,11564,303.1,147645,3870.300565,West South Central
Oregon,2012,3899353,9653,247.6,92,2.4,1140,29.2,2413,61.9,6008,154.1,125723,3224.2,21901,561.7,93619,2400.9,10203,261.7,135376,3471.755443,Pacific
Pennsylvania,2012,12763536,44503,348.7,685,5.4,3327,26.1,15673,122.8,24818,194.4,276496,2166.3,56859,445.5,204609,1603.1,15028,117.7,320999,2514.969206,Mid Atlantic
Rhode Island,2012,1050292,2651,252.4,34,3.2,288,27.4,713,67.9,1616,153.9,27017,2572.3,5949,566.4,18440,1755.7,2628,250.2,29668,2824.738263,New England
South Carolina,2012,4723723,26397,558.8,324,6.9,1679,35.5,4489,95,19905,421.4,180550,3822.2,45086,954.5,122263,2588.3,13201,279.5,206947,4381.014721,South Atlantic
South Dakota,2012,833354,2682,321.8,25,3,585,70.2,158,19,1914,229.7,17168,2060.1,3258,391,12845,1541.4,1065,127.8,19850,2381.940928,West North Central
Tennessee,2012,6456243,41550,643.6,388,6,2032,31.5,8169,126.5,30961,479.6,217664,3371.4,56181,870.2,148503,2300.1,12980,201,259214,4014.935621,East South Central
Texas,2012,26059203,106476,408.6,1144,4.4,7711,29.6,30382,116.6,67239,258,876059,3361.8,204810,785.9,606253,2326.4,64996,249.4,982535,3770.395434,West South Central
Utah,2012,2855287,5876,205.8,50,1.8,943,33,1100,38.5,3783,132.5,85424,2991.8,12943,453.3,66482,2328.4,5999,210.1,91300,3197.576986,Mountain
Vermont,2012,626011,893,142.6,8,1.3,121,19.3,112,17.9,652,104.2,15016,2398.7,3965,633.4,10616,1695.8,435,69.5,15909,2541.329146,New England
Virginia,2012,8185867,15564,190.1,314,3.8,1452,17.7,4706,57.5,9092,111.1,176985,2162.1,29511,360.5,138398,1690.7,9076,110.9,192549,2352.212661,South Atlantic
Washington,2012,6897012,20386,295.6,206,3,2193,31.8,5745,83.3,12242,177.5,252333,3658.6,60725,880.5,165206,2395.3,26402,382.8,272719,3954.161599,Pacific
West Virginia,2012,1855413,5869,316.3,72,3.9,421,22.7,838,45.2,4538,244.6,43878,2364.9,11291,608.5,30378,1637.3,2209,119.1,49747,2681.182033,South Atlantic
Wisconsin,2012,5726398,16064,280.5,173,3,1219,21.3,4622,80.7,10050,175.5,140513,2453.8,27945,488,104352,1822.3,8216,143.5,156577,2734.301737,East North Central
Wyoming,2012,576412,1161,201.4,14,2.4,154,26.7,61,10.6,932,161.7,13222,2293.8,2125,368.7,10513,1823.9,584,101.3,14383,2495.263804,Mountain
