State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
Nebraska,2010,1826341,5104,279.5,54,3,672,36.8,1025,56.1,3353,183.6,48821,2673.2,8326,455.9,36881,2019.4,3614,197.9,53925,2952.624948,West North Central
Nevada,2010,2700551,17841,660.6,158,5.9,965,35.7,5298,196.2,11420,422.9,74932,2774.7,22226,823,42521,1574.5,10185,377.1,92773,3435.335974,Mountain
New Hampshire,2010,1316470,2198,167,13,1,412,31.3,451,34.3,1322,100.4,28782,2186.3,5441,413.3,22373,1699.5,968,73.5,30980,2353.262892,New England
New Jersey,2010,8791894,27055,307.7,371,4.2,981,11.2,11818,134.4,13885,157.9,183042,2081.9,38732,440.5,128754,1464.5,15556,176.9,210097,2389.667118,Mid Atlantic
New Mexico,2010,2059179,12126,588.9,142,6.9,958,46.5,1614,78.4,9412,457.1,70742,3435.4,21014,1020.5,44481,2160.1,5247,254.8,82868,4024.322315,Mountain
New York,2010,19378102,75977,392.1,866,4.5,2771,14.3,28473,146.9,43867,226.4,376161,1941.2,64973,335.3,290755,1500.4,20433,105.4,452138,2333.241924,Mid Atlantic
North Carolina,2010,9535483,34653,363.4,476,5,2013,21.1,9610,100.8,22554,236.5,328719,3447.3,102690,1076.9,207719,2178.4,18310,192,363372,3810.735125,South Atlantic
North Dakota,2010,672591,1513,225,10,1.5,237,35.2,90,13.4,1176,174.8,11895,1768.5,1966,292.3,9070,1348.5,859,127.7,13408,1993.484896,West North Central
Ohio,2010,11536504,36366,315.2,476,4.1,3699,32.1,16479,142.8,15712,136.2,374381,3245.2,106521,923.3,246742,2138.8,21118,183.1,410747,3560.411369,East North Central
Oklahoma,2010,3751351,17987,479.5,195,5.2,1450,38.7,3337,89,13005,346.7,128126,3415.5,37476,999,80460,2144.8,10190,271.6,146113,3894.943448,West South Central
Oregon,2010,3831074,9655,252,91,2.4,1214,31.7,2390,62.4,5960,155.6,115428,3012.9,19637,512.6,86879,2267.7,8912,232.6,125083,3264.959121,Pacific
Pennsylvania,2010,12702379,46514,366.2,657,5.2,3415,26.9,16362,128.8,26080,205.3,276023,2173,55171,434.3,204183,1607.4,16669,131.2,322537,2539.18577,Mid Atlantic
Rhode Island,2010,1052567,2701,256.6,29,2.8,296,28.1,780,74.1,1596,151.6,26910,2556.6,6121,581.5,18390,1747.2,2399,227.9,29611,2813.217591,New England
South Carolina,2010,4625364,27648,597.7,280,6.1,1466,31.7,4982,107.7,20920,452.3,180407,3900.4,46156,997.9,121054,2617.2,13197,285.3,208055,4498.132471,South Atlantic
South Dakota,2010,814180,2186,268.5,23,2.8,390,47.9,154,18.9,1619,198.9,15082,1852.4,3181,390.7,11106,1364.1,795,97.6,17268,2120.906925,West North Central
Tennessee,2010,6346105,38921,613.3,357,5.6,2138,33.7,8366,131.8,28060,442.2,232132,3657.9,64235,1012.2,153062,2411.9,14835,233.8,271053,4271.171057,East South Central
Texas,2010,25145561,113231,450.3,1249,5,7622,30.3,32843,130.6,71517,284.4,951246,3783,228597,909.1,654626,2603.3,68023,270.5,1064477,4233.260097,West South Central
Utah,2010,2763885,5879,212.7,53,1.9,948,34.3,1268,45.9,3610,130.6,87880,3179.6,15017,543.3,66914,2421,5949,215.2,93759,3392.2902,Mountain
Vermont,2010,625741,815,130.2,7,1.1,132,21.1,74,11.8,602,96.2,14281,2282.3,3366,537.9,10474,1673.9,441,70.5,15096,2412.49974,New England
Virginia,2010,8001024,17087,213.6,369,4.6,1532,19.1,5657,70.7,9529,119.1,186196,2327.2,30629,382.8,145019,1812.5,10548,131.8,203283,2540.712289,South Atlantic
Washington,2010,6724540,21101,313.8,152,2.3,2562,38.1,5929,88.2,12458,185.3,249253,3706.6,55164,820.3,168360,2503.7,25729,382.6,270354,4020.408831,Pacific
West Virginia,2010,1852994,5830,314.6,62,3.3,354,19.1,828,44.7,4586,247.5,41500,2239.6,10756,580.5,28383,1531.7,2361,127.4,47330,2554.244644,South Atlantic
Wisconsin,2010,5686986,14142,248.7,155,2.7,1187,20.9,4504,79.2,8296,145.9,142612,2507.7,26566,467.1,107908,1897.5,8138,143.1,156754,2756.363388,East North Central
Wyoming,2010,563626,1104,195.9,8,1.4,164,29.1,76,13.5,856,151.9,13874,2461.6,2149,381.3,11134,1975.4,591,104.9,14978,2657.435959,Mountain
