State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
Alabama,2010,4779736,18056,377.8,273,5.7,1349,28.2,4761,99.6,11673,244.2,168092,3516.8,42034,879.4,115458,2415.6,10600,221.8,186148,3894.524719,East South Central
Alaska,2010,710231,4537,638.8,31,4.4,533,75,594,83.6,3379,475.8,20259,2852.5,3105,437.2,15535,2187.3,1619,228,24796,3491.258478,Pacific
Arizona,2010,6392017,26085,408.1,409,6.4,2165,33.9,6937,108.5,16574,259.3,225893,3534,50771,794.3,153614,2403.2,21508,336.5,251978,3942.073371,Mountain
Arkansas,2010,2915918,14735,505.3,138,4.7,1312,45,2372,81.3,10913,374.3,103775,3558.9,32511,1114.9,65720,2253.8,5544,190.1,118510,4064.243233,West South Central
California,2010,37253956,164133,440.6,1809,4.9,8331,22.4,58116,156,95877,257.4,981939,2635.8,228857,614.3,600558,1612.1,152524,409.4,1146072,3076.37664,Pacific
Colorado,2010,5029196,16133,320.8,120,2.4,2198,43.7,3132,62.3,10683,212.4,134992,2684.2,26153,520,97592,1940.5,11247,223.6,151125,3004.953476,Mountain
Connecticut,2010,3574097,10057,281.4,130,3.6,583,16.3,3553,99.4,5791,162,78386,2193.2,15172,424.5,56507,1581,6707,187.7,88443,2474.555111,New England
Delaware,2010,897934,5575,620.9,48,5.3,312,34.7,1829,203.7,3386,377.1,30963,3448.2,7515,836.9,21519,2396.5,1929,214.8,36538,4069.118666,South Atlantic
District of Columbia,2010,601723,8004,1330.2,132,21.9,187,31.1,4325,718.8,3360,558.4,28756,4778.9,4231,703.1,19489,3238.9,5036,836.9,36760,6109.123301,South Atlantic
Florida,2010,18801310,101969,542.4,987,5.2,5373,28.6,26086,138.7,69523,369.8,669035,3558.4,169119,899.5,458454,2438.4,41462,220.5,771004,4100.799359,South Atlantic
Georgia,2010,9687653,39072,403.3,558,5.8,2093,21.6,12373,127.7,24048,248.2,352679,3640.5,96723,998.4,225651,2329.3,30305,312.8,391751,4043.817424,South Atlantic
Hawaii,2010,1360301,3574,262.7,24,1.8,365,26.8,1054,77.5,2131,156.7,45083,3314.2,8663,636.8,31320,2302.4,5100,374.9,48657,3576.92893,Pacific
Idaho,2010,1567582,3465,221,21,1.3,525,33.5,214,13.7,2705,172.6,31286,1995.8,6502,414.8,23462,1496.7,1322,84.3,34751,2216.853728,Mountain
Illinois,2010,12830632,55835,435.2,706,5.5,3033,23.6,20054,156.3,32042,249.7,343989,2681,75399,587.6,239794,1868.9,28796,224.4,399824,3116.167621,East North Central
Indiana,2010,6483802,20389,314.5,292,4.5,1761,27.2,6219,95.9,12117,186.9,197260,3042.4,47115,726.7,137027,2113.4,13118,202.3,217649,3356.811328,East North Central
Iowa,2010,3046355,8333,273.5,39,1.3,836,27.4,1011,33.2,6447,211.6,68315,2242.5,16656,546.8,47883,1571.8,3776,124,76648,2516.056074,West North Central
Kansas,2010,2853118,10531,369.1,100,3.5,1107,38.8,1544,54.1,7780,272.7,89015,3119.9,19404,680.1,63602,2229.2,6009,210.6,99546,3489.02499,West North Central
Kentucky,2010,4339367,10528,242.6,187,4.3,1381,31.8,3748,86.4,5212,120.1,110709,2551.3,30311,698.5,74189,1709.7,6209,143.1,121237,2793.886758,East South Central
Louisiana,2010,4533372,24886,549,510,11.2,1233,27.2,5211,114.9,17932,395.6,165357,3647.5,45435,1002.2,110029,2427.1,9893,218.2,190243,4196.500971,West South Central
Maine,2010,1328361,1621,122,24,1.8,389,29.3,414,31.2,794,59.8,32934,2479.3,7359,554,24585,1850.8,990,74.5,34555,2601.325995,New England
Maryland,2010,5773552,31620,547.7,430,7.4,1227,21.3,11054,191.5,18909,327.5,173051,2997.3,36542,632.9,118458,2051.7,18051,312.6,204671,3544.975433,South Atlantic
Massachusetts,2010,6547629,30553,466.6,210,3.2,1745,26.7,6874,105,21724,331.8,153905,2350.5,37767,576.8,104685,1598.8,11453,174.9,184458,2817.172445,New England
Michigan,2010,9883640,48460,490.3,567,5.7,4673,47.3,11493,116.3,31727,321,268201,2713.6,73868,747.4,166980,1689.5,27353,276.8,316661,3203.89047,East North Central
Minnesota,2010,5303925,12515,236,96,1.8,1798,33.9,3388,63.9,7233,136.4,136431,2572.3,24415,460.3,103429,1950,8587,161.9,148946,2808.222213,West North Central
Mississippi,2010,2967297,8003,269.7,208,7,927,31.2,2779,93.7,4089,137.8,88574,2985,30444,1026,52770,1778.4,5360,180.6,96577,3254.712959,East South Central
Missouri,2010,5988927,27252,455,420,7,1432,23.9,6132,102.4,19268,321.7,200414,3346.4,44043,735.4,140320,2343,16051,268,227666,3801.448907,West North Central
Montana,2010,989415,2693,272.2,26,2.6,321,32.4,157,15.9,2189,221.2,25169,2543.8,3654,369.3,19989,2020.3,1526,154.2,27862,2816.007439,Mountain
