State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
Alabama,2014,4849377,20727,427.4,276,5.7,2005,41.3,4701,96.9,13745,283.4,154094,3177.6,39715,819,104238,2149.5,10141,209.1,174821,3605.019779,East South Central
Alaska,2014,736732,4684,635.8,41,5.6,771,104.7,629,85.4,3243,440.2,20334,2760,3150,427.6,15445,2096.4,1739,236,25018,3395.807431,Pacific
Arizona,2014,6731484,26916,399.9,319,4.7,3378,50.2,6249,92.8,16970,252.1,215240,3197.5,43562,647.1,154091,2289.1,17587,261.3,242156,3597.364266,Mountain
Arkansas,2014,2966369,14243,480.1,165,5.6,1763,59.4,2050,69.1,10265,346,99018,3338,24790,835.7,68627,2313.5,5601,188.8,113261,3818.169621,West South Central
California,2014,38802500,153709,396.1,1699,4.4,11527,29.7,48680,125.5,91803,236.6,947192,2441.1,202670,522.3,592670,1527.4,151852,391.3,1100901,2837.190903,Pacific
Colorado,2014,5355866,16554,309.1,151,2.8,3039,56.7,3039,56.7,10325,192.8,135510,2530.1,23472,438.2,99464,1857.1,12574,234.8,152064,2839.204715,Mountain
Connecticut,2014,3596677,8522,236.9,86,2.4,782,21.7,3159,87.8,4495,125,69070,1920.4,11955,332.4,51005,1418.1,6110,169.9,77592,2157.324664,New England
Delaware,2014,935614,4576,489.1,54,5.8,386,41.3,1269,135.6,2867,306.4,27900,2982,5768,616.5,20865,2230.1,1267,135.4,32476,3471.089573,South Atlantic
District of Columbia,2014,658893,8199,1244.4,105,15.9,472,71.6,3497,530.7,4125,626.1,34147,5182.5,3466,526,26898,4082.3,3783,574.1,42346,6426.84017,South Atlantic
Florida,2014,19893297,107521,540.5,1149,5.8,8563,43,24914,125.2,72895,366.4,679446,3415.5,143220,719.9,493647,2481.5,42579,214,786967,3955.940536,South Atlantic
Georgia,2014,10097343,38097,377.3,580,5.7,3048,30.2,12417,123,22052,218.4,331316,3281.2,76428,756.9,228034,2258.4,26854,266,369413,3658.516899,South Atlantic
Hawaii,2014,1419561,3680,259.2,26,1.8,445,31.3,1107,78,2102,148.1,43297,3050,7778,547.9,31640,2228.9,3879,273.3,46977,3309.262511,Pacific
Idaho,2014,1634464,3468,212.2,32,2,609,37.3,204,12.5,2623,160.5,30316,1854.8,6428,393.3,22227,1359.9,1661,101.6,33784,2066.977309,Mountain
Illinois,2014,12880580,47663,370,685,5.3,4159,32.3,15299,118.8,27520,213.7,267385,2075.9,50008,388.2,199926,1552.2,17451,135.5,315048,2445.914703,East North Central
Indiana,2014,6596855,24099,365.3,330,5,2186,33.1,6897,104.5,14686,222.6,174776,2649.4,36893,559.3,124022,1880,13861,210.1,198875,3014.694123,East North Central
Iowa,2014,3107126,8497,273.5,60,1.9,1128,36.3,1045,33.6,6264,201.6,65056,2093.8,14428,464.4,46477,1495.8,4151,133.6,73553,2367.235831,West North Central
Kansas,2014,2904021,10123,348.6,91,3.1,1411,48.6,1362,46.9,7259,250,79431,2735.2,15828,545,56697,1952.4,6906,237.8,89554,3083.793127,West North Central
Kentucky,2014,4413457,9340,211.6,160,3.6,1440,32.6,3336,75.6,4404,99.8,99166,2246.9,23244,526.7,69604,1577.1,6318,143.2,108506,2458.526275,East South Central
Louisiana,2014,4649676,23934,514.7,477,10.3,1375,29.6,5695,122.5,16387,352.4,160824,3458.8,38337,824.5,112596,2421.6,9891,212.7,184758,3973.56719,West South Central
Maine,2014,1330089,1700,127.8,21,1.6,485,36.5,304,22.9,890,66.9,26421,1986.4,5030,378.2,20592,1548.2,799,60.1,28121,2114.219424,New England
Maryland,2014,5976407,26661,446.1,365,6.1,1619,27.1,9544,159.7,15133,253.2,149859,2507.5,28012,468.7,108745,1819.6,13102,219.2,176520,2953.614103,South Atlantic
Massachusetts,2014,6745408,26399,391.4,132,2,2180,32.3,6036,89.5,18051,267.6,125267,1857.1,24964,370.1,92043,1364.5,8260,122.5,151666,2248.433305,New England
Michigan,2014,9909877,42348,427.3,535,5.4,6273,63.3,8021,80.9,27519,277.7,202547,2043.9,44184,445.9,137206,1384.5,21157,213.5,244895,2471.221389,East North Central
Minnesota,2014,5457173,12505,229.1,88,1.6,2001,36.7,3687,67.6,6729,123.3,125377,2297.5,20773,380.7,96237,1763.5,8367,153.3,137882,2526.619552,West North Central
Mississippi,2014,2994079,8338,278.5,258,8.6,1058,35.3,2430,81.2,4592,153.4,87462,2921.2,24352,813.3,58591,1956.9,4519,150.9,95800,3199.648373,East South Central
Missouri,2014,6063589,26856,442.9,403,6.6,2379,39.2,5592,92.2,18482,304.8,176237,2906.5,35258,581.5,124622,2055.3,16357,269.8,203093,3349.385982,West North Central
Montana,2014,1023579,3313,323.7,37,3.6,541,52.9,203,19.8,2532,247.4,25312,2472.9,3595,351.2,19674,1922.1,2043,199.6,28625,2796.559914,Mountain
Nebraska,2014,1881503,5275,280.4,54,2.9,862,45.8,1043,55.4,3316,176.2,47479,2523.5,7950,422.5,35074,1864.1,4455,236.8,52754,2803.822263,West North Central
Nevada,2014,2839099,18045,635.6,170,6,1357,47.8,5954,209.7,10564,372.1,74538,2625.4,21927,772.3,42426,1494.3,10185,358.7,92583,3260.999352,Mountain
New Hampshire,2014,1326813,2602,196.1,12,0.9,594,44.8,537,40.5,1459,110,26041,1962.7,4162,313.7,21022,1584.4,857,64.6,28643,2158.781984,New England
New Jersey,2014,8938175,23346,261.2,349,3.9,1274,14.3,10498,117.5,11225,125.6,154993,1734.1,31710,354.8,111578,1248.3,11705,131,178339,1995.250708,Mid Atlantic
New Mexico,2014,2085572,12459,597.4,101,4.8,1475,70.7,2086,100,8797,421.8,73877,3542.3,18505,887.3,49082,2353.4,6290,301.6,86336,4139.679666,Mountain
New York,2014,19746227,75398,381.8,617,3.1,5433,27.5,24045,121.8,45303,229.4,339282,1718.2,50781,257.2,272765,1381.4,15736,79.7,414680,2100.046758,Mid Atlantic
North Carolina,2014,9943964,32767,329.5,510,5.1,2420,24.3,8416,84.6,21421,215.4,285697,2873.1,79373,798.2,192694,1937.8,13630,137.1,318464,3202.586011,South Atlantic
North Dakota,2014,739482,1960,265.1,22,3,358,48.4,173,23.4,1407,190.3,15605,2110.3,2707,366.1,11384,1539.5,1514,204.7,17565,2375.311367,West North Central
Ohio,2014,11594163,33030,284.9,464,4,5042,43.5,12753,110,14771,127.4,324528,2799.1,78845,680,227668,1963.6,18015,155.4,357558,3083.948363,East North Central
Oklahoma,2014,3878051,15744,406,175,4.5,1777,45.8,3048,78.6,10744,277,115982,2990.7,29508,760.9,75891,1956.9,10583,272.9,131726,3396.706232,West South Central
