State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
Oregon,2014,3970239,9224,232.3,81,2,1458,36.7,2093,52.7,5592,140.8,114305,2879,17230,434,87526,2204.6,9549,240.5,123529,3111.374403,Pacific
Pennsylvania,2014,12787209,40164,314.1,614,4.8,3827,29.9,13534,105.8,22189,173.5,247016,1931.7,45720,357.5,188256,1472.2,13040,102,287180,2245.838009,Mid Atlantic
Rhode Island,2014,1055173,2313,219.2,25,2.4,361,34.2,529,50.1,1398,132.5,22935,2173.6,4823,457.1,16279,1542.8,1833,173.7,25248,2392.782984,New England
South Carolina,2014,4832482,24052,497.7,311,6.4,2068,42.8,3997,82.7,17676,365.8,167217,3460.3,36721,759.9,117594,2433.4,12902,267,191269,3957.986807,South Atlantic
South Dakota,2014,853175,2786,326.5,20,2.3,470,55.1,200,23.4,2096,245.7,15902,1863.9,2818,330.3,12077,1415.5,1007,118,18688,2190.406423,West North Central
Tennessee,2014,6549352,39848,608.4,371,5.7,2531,38.6,7265,110.9,29681,453.2,200447,3060.6,46642,712.2,141206,2156,12599,192.4,240295,3668.988932,East South Central
Texas,2014,26956958,109414,405.9,1184,4.4,11393,42.3,31181,115.7,65656,243.6,813934,3019.4,169234,627.8,576154,2137.3,68546,254.3,923348,3425.267792,West South Central
Utah,2014,2942902,6346,215.6,67,2.3,1454,49.4,1312,44.6,3513,119.4,84711,2878.5,11518,391.4,65895,2239.1,7298,248,91057,3094.12274,Mountain
Vermont,2014,626562,622,99.3,10,1.6,110,17.6,70,11.2,432,68.9,9551,1524.4,2034,324.6,7273,1160.8,244,38.9,10173,1623.622243,New England
Virginia,2014,8326289,16340,196.2,338,4.1,2310,27.7,4292,51.5,9400,112.9,160720,1930.3,23122,277.7,129933,1560.5,7665,92.1,177060,2126.517588,South Atlantic
Washington,2014,7061530,20136,285.2,174,2.5,2695,38.2,5640,79.9,11627,164.7,261706,3706.1,55290,783,175769,2489.1,30647,434,281842,3991.231362,Pacific
West Virginia,2014,1850326,5588,302,74,4,505,27.3,651,35.2,4358,235.5,37648,2034.7,8973,484.9,26779,1447.3,1896,102.5,43236,2336.669322,South Atlantic
Wisconsin,2014,5757564,16714,290.3,165,2.9,1674,29.1,5066,88,9809,170.4,120238,2088.3,21216,368.5,89103,1547.6,9919,172.3,136952,2378.644857,East North Central
Wyoming,2014,584153,1142,195.5,16,2.7,174,29.8,53,9.1,899,153.9,11477,1964.7,1689,289.1,9185,1572.4,603,103.2,12619,2160.221723,Mountain
