State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
Alabama,2015,4858979,22952,472.4,348,7.2,2039,42,4611,94.9,15954,328.3,144746,2978.9,35255,725.6,99156,2040.7,10335,212.7,167698,3451.301189,East South Central
Alaska,2015,738432,5392,730.2,59,8,901,122,761,103.1,3671,497.1,20806,2817.6,3511,475.5,15249,2065.1,2046,277.1,26198,3547.787745,Pacific
Arizona,2015,6828065,28012,410.2,309,4.5,3108,45.5,6360,93.1,18235,267.1,207107,3033.2,37957,555.9,152365,2231.5,16785,245.8,235119,3443.420647,Mountain
Arkansas,2015,2978204,15526,521.3,181,6.1,1931,64.8,2098,70.4,11316,380,96836,3251.5,22640,760.2,68424,2297.5,5772,193.8,112362,3772.810728,West South Central
California,2015,39144818,166883,426.3,1861,4.8,12811,32.7,52862,135,99349,253.8,1024914,2618.3,197404,504.3,656517,1677.1,170993,436.8,1191797,3044.584343,Pacific
Colorado,2015,5456574,17515,321,176,3.2,3257,59.7,3323,60.9,10759,197.2,144136,2641.5,23454,429.8,104682,1918.5,16000,293.2,161651,2962.499913,Mountain
Connecticut,2015,3590886,7845,218.5,117,3.3,773,21.5,2892,80.5,4063,113.1,65066,1812,10053,280,48675,1355.5,6338,176.5,72911,2030.445968,New England
Delaware,2015,945934,4720,499,63,6.7,341,36,1235,130.6,3081,325.7,25455,2691,4773,504.6,19501,2061.6,1181,124.9,30175,3189.968856,South Atlantic
District of Columbia,2015,672228,8531,1269.1,162,24.1,494,73.5,3742,556.7,4133,614.8,31435,4676.2,2971,442,25200,3748.7,3264,485.5,39966,5945.304272,South Atlantic
Florida,2015,20271272,93626,461.9,1041,5.1,7553,37.3,21137,104.3,63895,315.2,570270,2813.2,109268,539,420341,2073.6,40661,200.6,663896,3275.058418,South Atlantic
Georgia,2015,10214860,38643,378.3,615,6,3224,31.6,12247,119.9,22557,220.8,308723,3022.3,66374,649.8,215867,2113.3,26482,259.2,347366,3400.59482,South Atlantic
Hawaii,2015,1431603,4201,293.4,19,1.3,561,39.2,1203,84,2418,168.9,54346,3796.2,6557,458,42010,2934.5,5779,403.7,58547,4089.611436,Pacific
Idaho,2015,1654930,3568,215.6,32,1.9,694,41.9,192,11.6,2650,160.1,28858,1743.8,6124,370,20863,1260.7,1871,113.1,32426,1959.357798,Mountain
Illinois,2015,12859995,49354,383.8,744,5.8,4821,37.5,14910,115.9,28879,224.6,255729,1988.6,46443,361.1,191634,1490.2,17652,137.3,305083,2372.341513,East North Central
Indiana,2015,6619680,25653,387.5,373,5.6,2404,36.3,7111,107.4,15765,238.2,171847,2596,34410,519.8,123918,1872,13519,204.2,197500,2983.527905,East North Central
Iowa,2015,3123899,8936,286.1,72,2.3,1156,37,1047,33.5,6661,213.2,63957,2047.3,14892,476.7,44723,1431.6,4342,139,72893,2333.398103,West North Central
Kansas,2015,2911641,11353,389.9,128,4.4,1615,55.5,1818,62.4,7792,267.6,79199,2720.1,15362,527.6,56880,1953.5,6957,238.9,90552,3109.998794,West North Central
Kentucky,2015,4425092,9676,218.7,209,4.7,1492,33.7,3307,74.7,4668,105.5,96362,2177.6,22260,503,66320,1498.7,7782,175.9,106038,2396.289162,East South Central
Louisiana,2015,4670724,25208,539.7,481,10.3,1723,36.9,5550,118.8,17454,373.7,156629,3353.4,35453,759,111435,2385.8,9741,208.6,181837,3893.122351,West South Central
Maine,2015,1329328,1729,130.1,23,1.7,474,35.7,311,23.4,921,69.3,24327,1830,4684,352.4,18829,1416.4,814,61.2,26056,1960.088105,New England
Maryland,2015,6006401,27462,457.2,516,8.6,1666,27.7,9863,164.2,15417,256.7,139048,2315,25678,427.5,100219,1668.5,13151,218.9,166510,2772.209182,South Atlantic
Massachusetts,2015,6794422,26562,390.9,128,1.9,2075,30.5,5288,77.8,19071,280.7,114871,1690.7,21890,322.2,84912,1249.7,8069,118.8,141433,2081.604587,New England
Michigan,2015,9922576,41231,415.5,571,5.8,6450,65,7796,78.6,26414,266.2,187101,1885.6,40041,403.5,131296,1323.2,15764,158.9,228332,2301.136318,East North Central
Minnesota,2015,5489594,13319,242.6,133,2.4,2321,42.3,3771,68.7,7094,129.2,121984,2222.1,19299,351.6,94704,1725.2,7981,145.4,135303,2464.717792,West North Central
Mississippi,2015,2992333,8254,275.8,259,8.7,1203,40.2,2294,76.7,4498,150.3,84790,2833.6,24799,828.8,55748,1863,4243,141.8,93044,3109.413291,East South Central
Missouri,2015,6083672,30261,497.4,502,8.3,2553,42,6376,104.8,20830,342.4,173642,2854.2,34006,559,122637,2015.8,16999,279.4,203903,3351.643547,West North Central
Montana,2015,1032949,3611,349.6,36,3.5,547,53,210,20.3,2818,272.8,27100,2623.6,3838,371.6,20844,2017.9,2418,234.1,30711,2973.138074,Mountain
Nebraska,2015,1896190,5212,274.9,62,3.3,873,46,994,52.4,3283,173.1,42495,2241.1,6422,338.7,32072,1691.4,4001,211,47707,2515.939858,West North Central
