State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
Nevada,2015,2890845,20118,695.9,178,6.2,1688,58.4,6287,217.5,11965,413.9,77137,2668.3,22360,773.5,43426,1502.2,11351,392.7,97255,3364.241251,Mountain
New Hampshire,2015,1330608,2652,199.3,14,1.1,627,47.1,468,35.2,1543,116,23229,1745.7,3467,260.6,18871,1418.2,891,67,25881,1945.050684,New England
New Jersey,2015,8958013,22879,255.4,363,4.1,1373,15.3,9729,108.6,11414,127.4,145701,1626.5,27960,312.1,105963,1182.9,11778,131.5,168580,1881.890549,Mid Atlantic
New Mexico,2015,2085109,13681,656.1,117,5.6,1672,80.2,2485,119.2,9407,451.2,77094,3697.4,17085,819.4,51483,2469.1,8526,408.9,90775,4353.489434,Mountain
New York,2015,19795791,75165,379.7,609,3.1,6074,30.7,23936,120.9,44546,225,317529,1604,44276,223.7,257940,1303,15313,77.4,392694,1983.724722,Mid Atlantic
North Carolina,2015,10042802,34852,347,517,5.1,2684,26.7,8825,87.9,22826,227.3,276183,2750.1,74841,745.2,187907,1871.1,13435,133.8,311035,3097.093819,South Atlantic
North Dakota,2015,756927,1812,239.4,21,2.8,345,45.6,148,19.6,1298,171.5,16020,2116.5,2997,395.9,11440,1511.4,1583,209.1,17832,2355.841448,West North Central
Ohio,2015,11613423,33898,291.9,500,4.3,5149,44.3,12554,108.1,15695,135.1,300525,2587.7,69303,596.7,213993,1842.6,17229,148.4,334423,2879.624724,East North Central
Oklahoma,2015,3911338,16506,422,234,6,1849,47.3,3005,76.8,11418,291.9,112878,2885.9,28406,726.2,74022,1892.5,10450,267.2,129384,3307.921739,West South Central
Oregon,2015,4028977,10468,259.8,99,2.5,1593,39.5,2146,53.3,6630,164.6,118719,2946.6,18336,455.1,89836,2229.7,10547,261.8,129187,3206.446699,Pacific
Pennsylvania,2015,12802503,40339,315.1,658,5.1,4305,33.6,13003,101.6,22373,174.8,232085,1812.8,39664,309.8,180287,1408.2,12134,94.8,272424,2127.896397,Mid Atlantic
Rhode Island,2015,1056298,2562,242.5,29,2.7,459,43.5,556,52.6,1518,143.7,20043,1897.5,3947,373.7,14707,1392.3,1389,131.5,22605,2140.021093,New England
South Carolina,2015,4896146,24700,504.5,399,8.1,2297,46.9,3931,80.3,18073,369.1,161245,3293.3,34551,705.7,113724,2322.7,12970,264.9,185945,3797.782991,South Atlantic
South Dakota,2015,858469,3289,383.1,32,3.7,495,57.7,216,25.2,2546,296.6,16680,1943,2960,344.8,12532,1459.8,1188,138.4,19969,2326.117775,West North Central
Tennessee,2015,6600299,40400,612.1,406,6.2,2676,40.5,7474,113.2,29844,452.2,193796,2936.2,43247,655.2,137679,2086,12870,195,234196,3548.263495,East South Central
Texas,2015,27469114,113227,412.2,1316,4.8,12250,44.6,31934,116.3,67727,246.6,777739,2831.3,153054,557.2,557200,2028.5,67485,245.7,890966,3243.519249,West South Central
Utah,2015,2995919,7071,236,54,1.8,1645,54.9,1326,44.3,4046,135.1,89278,2980,12468,416.2,68103,2273.2,8707,290.6,96349,3216.008176,Mountain
Vermont,2015,626042,739,118,10,1.6,136,21.7,101,16.1,492,78.6,8806,1406.6,1968,314.4,6660,1063.8,178,28.4,9545,1524.65809,New England
Virginia,2015,8382993,16399,195.6,383,4.6,2340,27.9,4441,53,9235,110.2,156470,1866.5,21340,254.6,127019,1515.2,8111,96.8,172869,2062.139381,South Atlantic
Washington,2015,7170351,20394,284.4,211,2.9,2705,37.7,5449,76,12029,167.8,248369,3463.8,50993,711.2,170509,2378,26867,374.7,268763,3748.254444,Pacific
West Virginia,2015,1844128,6231,337.9,70,3.8,672,36.4,760,41.2,4729,256.4,37251,2020,9170,497.3,25842,1401.3,2239,121.4,43482,2357.862361,South Atlantic
Wisconsin,2015,5771337,17647,305.8,240,4.2,1780,30.8,5232,90.7,10395,180.1,113924,1974,19554,338.8,83385,1444.8,10985,190.3,131571,2279.731716,East North Central
Wyoming,2015,586107,1302,222.1,16,2.7,173,29.5,59,10.1,1054,179.8,11151,1902.6,1762,300.6,8797,1500.9,592,101,12453,2124.697368,Mountain
