State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
South Carolina,2017,5024369,25432,506.2,390,7.8,2504,49.8,3870,77,18668,371.5,160575,3195.9,31306,623.1,115012,2289.1,14257,283.8,186007,3702.096721,South Atlantic
South Dakota,2017,869666,3771,433.6,25,2.9,595,68.4,238,27.4,2913,335,16317,1876.2,2707,311.3,12227,1405.9,1383,159,20088,2309.852288,West North Central
Tennessee,2017,6715984,43755,651.5,527,7.8,2934,43.7,7862,117.1,32432,482.9,197488,2940.6,38716,576.5,140248,2088.3,18524,275.8,241243,3592.072286,East South Central
Texas,2017,28304596,124238,438.9,1412,5,14470,51.1,32267,114,76089,268.8,725328,2562.6,134066,473.7,523221,1848.5,68041,240.4,849566,3001.512546,West South Central
Utah,2017,3101833,7410,238.9,73,2.4,1697,54.7,1468,47.3,4172,134.5,86238,2780.2,11817,381,64892,2092.1,9529,307.2,93648,3019.118051,Mountain
Vermont,2017,623657,1034,165.8,14,2.2,218,35,92,14.8,710,113.8,8960,1436.7,1854,297.3,6912,1108.3,194,31.1,9994,1602.483416,New England
Virginia,2017,8470020,17632,208.2,453,5.3,2862,33.8,4332,51.1,9985,117.9,151855,1792.9,18468,218,123215,1454.7,10172,120.1,169487,2001.02243,South Atlantic
Washington,2017,7405743,22548,304.5,230,3.1,3255,44,5390,72.8,13673,184.6,235027,3173.6,43720,590.4,162511,2194.4,28796,388.8,257575,3478.043999,Pacific
West Virginia,2017,1815857,6368,350.7,85,4.7,795,43.8,524,28.9,4964,273.4,33630,1852,7628,420.1,23000,1266.6,3002,165.3,39998,2202.706491,South Atlantic
Wisconsin,2017,5795483,18539,319.9,186,3.2,2139,36.9,4345,75,11869,204.8,104802,1808.3,17599,303.7,77735,1341.3,9468,163.4,123341,2128.226414,East North Central
Wyoming,2017,579315,1376,237.5,15,2.6,263,45.4,76,13.1,1022,176.4,10604,1830.4,1593,275,8232,1421,779,134.5,11980,2067.959573,Mountain
