State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
Alabama,2013,4833722,20210,418.1,347,7.2,2044,42.3,4648,96.2,13787,285.2,161993,3351.3,42429,877.8,108993,2254.8,10571,218.7,182203,3769.414128,East South Central
Alaska,2013,735132,4430,602.6,34,4.6,922,125.4,624,84.9,3128,425.5,21210,2885.2,2916,396.7,16599,2258,1695,230.6,25640,3487.808992,Pacific
Arizona,2013,6626624,26892,405.8,357,5.4,3050,46,6702,101.1,17490,263.9,225243,3399.1,48533,732.4,159272,2403.5,17438,263.2,252135,3804.878623,Mountain
Arkansas,2013,2959373,13191,445.7,159,5.4,1423,48.1,2258,76.3,9781,330.5,106613,3602.6,30485,1030.1,70450,2380.6,5678,191.9,119804,4048.289959,West South Central
California,2013,38332521,151879,396.2,1746,4.6,9714,25.3,53640,139.9,89029,232.3,1018907,2658.1,232058,605.4,621557,1621.5,165292,431.2,1170786,3054.289072,Pacific
Colorado,2013,5268367,15342,291.2,178,3.4,2934,55.7,3151,59.8,9963,189.1,140057,2658.5,25081,476.1,102443,1944.5,12533,237.9,155399,2949.661631,Mountain
Connecticut,2013,3596080,9153,254.5,86,2.4,955,26.6,3530,98.2,4869,135.4,70990,1974.1,12892,358.5,51876,1442.6,6222,173,80143,2228.621165,New England
Delaware,2013,925749,4435,479.1,39,4.2,380,41,1226,132.4,2904,313.7,28379,3065.5,6131,662.3,20916,2259.4,1332,143.9,32814,3544.5893,South Atlantic
District of Columbia,2013,646449,8287,1281.9,103,15.9,395,61.1,4078,630.8,3830,592.5,31083,4808.3,3316,513,24533,3795,3234,500.3,39370,6090.194277,South Atlantic
Florida,2013,19552860,89948,460,972,5,6760,34.6,23200,118.7,61054,312.3,607172,3105.3,138916,710.5,433344,2216.3,34912,178.6,697120,3565.309627,South Atlantic
Georgia,2013,9992167,35943,359.7,556,5.6,2582,25.8,12488,125,20915,209.3,334399,3346.6,82258,823.2,225315,2254.9,26826,268.5,370342,3706.323163,South Atlantic
Hawaii,2013,1404054,3444,245.3,21,1.5,385,27.4,1131,80.6,1996,142.2,42875,3053.7,7533,536.5,31658,2254.8,3684,262.4,46319,3298.947191,Pacific
Idaho,2013,1612136,3300,204.7,27,1.7,655,40.6,220,13.6,2596,161,30055,1864.3,6640,411.9,21879,1357.1,1536,95.3,33355,2068.994179,Mountain
Illinois,2013,12882135,47987,372.5,706,5.5,4263,33.1,17722,137.6,26283,204,292983,2274.3,58237,452.1,213813,1659.8,20933,162.5,340970,2646.843866,East North Central
Indiana,2013,6570902,22991,349.9,355,5.4,2142,32.6,7108,108.2,13882,211.3,187536,2854,42909,653,130423,1984.9,14204,216.2,210527,3203.928471,East North Central
Iowa,2013,3090416,8062,260.9,43,1.4,1083,35,939,30.4,6323,204.6,67800,2193.9,15868,513.5,47686,1543,4246,137.4,75862,2454.750428,West North Central
Kansas,2013,2893957,9478,327.5,112,3.9,1195,41.3,1350,46.6,7181,248.1,85280,2946.8,17375,600.4,61264,2117,6641,229.5,94758,3274.340289,West North Central
Kentucky,2013,4395295,8737,198.8,167,3.8,1611,36.7,3246,73.9,4198,95.5,103857,2362.9,26213,596.4,71612,1629.3,6032,137.2,112594,2561.693811,East South Central
Louisiana,2013,4625470,23609,510.4,498,10.8,1619,35,5548,119.9,16319,352.8,165686,3582,41184,890.4,115342,2493.6,9160,198,189295,4092.448984,West South Central
Maine,2013,1328302,1615,121.6,24,1.8,447,33.7,335,25.2,912,68.7,30447,2292.2,6483,488.1,23050,1735.3,914,68.8,32062,2413.758317,New England
Maryland,2013,5928814,27734,467.8,381,6.4,1532,25.8,10048,169.5,16128,272,157913,2663.5,31949,538.9,112546,1898.3,13418,226.3,185647,3131.267063,South Atlantic
Massachusetts,2013,6692824,27038,404,137,2,2718,40.6,6706,100.2,18106,270.5,137285,2051.2,30735,459.2,97428,1455.7,9122,136.3,164323,2455.211731,New England
Michigan,2013,9895622,42536,429.8,631,6.4,6593,66.6,10105,102.1,27194,274.8,230334,2327.6,56344,569.4,149423,1510,24567,248.3,272870,2757.482046,East North Central
Minnesota,2013,5420380,12100,223.2,114,2.1,2008,37,3674,67.8,6909,127.5,131195,2420.4,22713,419,100516,1854.4,7966,147,143295,2643.633841,West North Central
Mississippi,2013,2991207,7999,267.4,195,6.5,930,31.1,2409,80.5,4680,156.5,81500,2724.7,24995,835.6,52117,1742.3,4388,146.7,89499,2992.069756,East South Central
Missouri,2013,6044171,25509,422,371,6.1,2287,37.8,5484,90.7,18055,298.7,189606,3137,38865,643,134416,2223.9,16325,270.1,215115,3559.048875,West North Central
Montana,2013,1015165,2444,240.7,22,2.2,410,40.4,204,20.1,1931,190.2,25953,2556.5,4064,400.3,20039,1974,1850,182.2,28397,2797.27926,Mountain
Nebraska,2013,1868516,4712,252.2,57,3.1,801,42.9,1040,55.7,2999,160.5,49018,2623.4,8900,476.3,35655,1908.2,4463,238.9,53730,2875.544015,West North Central
