State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
Nevada,2013,2790136,16496,591.2,163,5.8,1418,50.8,5183,185.8,10060,360.6,79177,2837.7,23047,826,46132,1653.4,9998,358.3,95673,3428.972638,Mountain
New Hampshire,2013,1323459,2642,199.6,22,1.7,686,51.8,649,49,1492,112.7,29040,2194.3,4936,373,23164,1750.3,940,71,31682,2393.878465,New England
New Jersey,2013,8899339,25415,285.6,401,4.5,1120,12.6,12082,135.8,12071,135.6,167556,1882.8,35873,403.1,117936,1325.2,13747,154.5,192971,2168.374528,Mid Atlantic
New Mexico,2013,2085287,12443,596.7,125,6,1465,70.3,1810,86.8,9382,449.9,77256,3704.8,21476,1029.9,49875,2391.8,5905,283.2,89699,4301.518208,Mountain
New York,2013,19651127,76596,389.8,648,3.3,3353,17.1,27241,138.6,46130,234.7,358598,1824.8,56442,287.2,286674,1458.8,15482,78.8,435194,2214.60072,Mid Atlantic
North Carolina,2013,9848060,33152,336.6,469,4.8,2369,24.1,9349,94.9,21513,218.4,308049,3128,90702,921,202741,2058.7,14606,148.3,341201,3464.651921,South Atlantic
North Dakota,2013,723393,1854,256.3,16,2.2,330,45.6,162,22.4,1446,199.9,15148,2094,2934,405.6,10798,1492.7,1416,195.7,17002,2350.313039,West North Central
Ohio,2013,11570808,31904,275.7,455,3.9,4041,34.9,14368,124.2,14257,123.2,338731,2927.5,91433,790.2,227766,1968.5,19532,168.8,370635,3203.190304,East North Central
Oklahoma,2013,3850568,16484,428.1,195,5.1,2180,56.6,3031,78.7,11583,300.8,126057,3273.7,33348,866.1,81495,2116.4,11214,291.2,142541,3701.817498,West South Central
Oregon,2013,3930065,9546,242.9,80,2,1897,48.3,2397,61,5610,142.7,124737,3173.9,20769,528.5,94106,2394.5,9862,250.9,134283,3416.813717,Pacific
Pennsylvania,2013,12773801,41713,326.6,594,4.7,3774,29.5,14762,115.6,23719,185.7,263240,2060.8,52034,407.3,197436,1545.6,13770,107.8,304953,2387.331696,Mid Atlantic
Rhode Island,2013,1051511,2572,244.6,31,2.9,440,41.8,684,65,1550,147.4,25678,2442,5607,533.2,17838,1696.4,2233,212.4,28250,2686.610031,New England
South Carolina,2013,4774839,23625,494.8,297,6.2,2171,45.5,3972,83.2,17838,373.6,173049,3624.2,40958,857.8,119511,2502.9,12580,263.5,196674,4118.966105,South Atlantic
South Dakota,2013,844877,2524,298.7,20,2.4,499,59.1,159,18.8,1996,236.2,16177,1914.7,3372,399.1,11867,1404.6,938,111,18701,2213.45829,West North Central
Tennessee,2013,6495978,37655,579.7,328,5,2351,36.2,7307,112.5,28378,436.9,206629,3180.9,50999,785.1,143802,2213.7,11828,182.1,244284,3760.542292,East South Central
Texas,2013,26448193,105736,399.8,1139,4.3,9766,36.9,31801,120.2,65292,246.9,861734,3258.2,190898,721.8,605091,2287.8,65745,248.6,967470,3657.981473,West South Central
Utah,2013,2900872,6070,209.2,49,1.7,1422,49,1243,42.8,3784,130.4,85586,2950.4,13333,459.6,64788,2233.4,7465,257.3,91656,3159.601665,Mountain
Vermont,2013,626630,720,114.9,10,1.6,130,20.7,73,11.6,546,87.1,13875,2214.2,3313,528.7,10228,1632.2,334,53.3,14595,2329.12564,New England
Virginia,2013,8260405,15524,187.9,316,3.8,2262,27.4,4565,55.3,9062,109.7,170654,2065.9,26640,322.5,135478,1640.1,8536,103.3,186178,2253.860434,South Atlantic
Washington,2013,6971406,19377,277.9,160,2.3,2573,36.9,5819,83.5,11601,166.4,258662,3710.3,58353,837,171910,2465.9,28399,407.4,278039,3988.277257,Pacific
West Virginia,2013,1854304,5371,289.7,61,3.3,653,35.2,651,35.1,4203,226.7,39013,2103.9,9674,521.7,27423,1478.9,1916,103.3,44384,2393.566535,South Atlantic
Wisconsin,2013,5742713,15570,271.1,162,2.8,1687,29.4,4834,84.2,9278,161.6,125688,2188.7,24347,424,93953,1636,7388,128.6,141258,2459.778157,East North Central
Wyoming,2013,582658,1152,197.7,17,2.9,187,32.1,75,12.9,916,157.2,12809,2198.4,1955,335.5,10276,1763.6,578,99.2,13961,2396.088271,Mountain
