State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
Alabama,2016,4863300,25886,532.3,407,8.4,1916,39.4,4686,96.4,18877,388.2,143362,2947.8,34065,700.5,97574,2006.3,11723,241.1,169248,3480.106101,East South Central
Alaska,2016,741894,5966,804.2,52,7,1053,141.9,850,114.6,4011,540.6,24876,3353,4053,546.3,17766,2394.7,3057,412.1,30842,4157.197659,Pacific
Arizona,2016,6931071,32583,470.1,380,5.5,3290,47.5,7055,101.8,21858,315.4,206432,2978.4,37736,544.4,150275,2168.1,18421,265.8,239015,3448.456956,Mountain
Arkansas,2016,2988248,16461,550.9,216,7.2,2143,71.7,2120,70.9,11982,401,97673,3268.6,23771,795.5,66747,2233.6,7155,239.4,114134,3819.428642,West South Central
California,2016,39250017,174796,445.3,1930,4.9,13702,34.9,54789,139.6,104375,265.9,1002070,2553,188304,479.8,637010,1623,176756,450.3,1176866,2998.383415,Pacific
Colorado,2016,5540545,18983,342.6,204,3.7,3555,64.2,3528,63.7,11696,211.1,151850,2740.7,23903,431.4,108336,1955.3,19611,354,170833,3083.324835,Mountain
Connecticut,2016,3576452,8123,227.1,78,2.2,763,21.3,2703,75.6,4579,128,64664,1808,10045,280.9,47512,1328.5,7107,198.7,72787,2035.173406,New England
Delaware,2016,952065,4844,508.8,56,5.9,308,32.4,1359,142.7,3121,327.8,26334,2766,5023,527.6,19791,2078.7,1520,159.7,31178,3274.776407,South Atlantic
District of Columbia,2016,681170,8214,1205.9,139,20.4,532,78.1,3480,510.9,4063,596.5,32716,4802.9,2361,346.6,27382,4019.8,2973,436.5,40930,6008.779013,South Atlantic
Florida,2016,20612439,88700,430.3,1111,5.4,7598,36.9,20175,97.9,59816,290.2,553812,2686.8,100325,486.7,410352,1990.8,43135,209.3,642512,3117.108072,South Atlantic
